,show_id,type,director,release_year,duration,rating,genre
179,s228,Movie,Justin Malone,2020,107.0,18+,Documentary
180,s229,Movie,Joseph C. Hanwright,1978,108.0,13+,Drama
181,s230,TV Show,,2014,2.0,TV-14,Comedy
182,s231,TV Show,,2020,2.0,TV-PG,Special Interest
183,s232,Movie,Dick Maas,2020,108.0,18+,Horror
184,s233,TV Show,,2012,1.0,TV-MA,Arts
185,s234,Movie,Ernie Reyes Jr.,2004,91.0,R,Action
186,s235,Movie,Abhishek Pathak,2019,115.0,NR,Comedy
187,s236,Movie,Bill Cote,2016,93.0,G,Special Interest
188,s238,Movie,Terje Toftenes,2017,104.0,13+,Special Interest
189,s239,Movie,James Fox,2015,92.0,13+,Special Interest
190,s240,Movie,David Cherniack,2016,102.0,G,Special Interest
191,s241,TV Show,,2009,2.0,TV-PG,Documentary
192,s242,TV Show,,2004,1.0,TV-PG,Horror
193,s243,TV Show,,2018,1.0,NR,Arts
194,s244,Movie,Malcolm St. Clair,1943,157.0,PG,Action
195,s245,Movie,Cannis Holder,2019,43.0,G,Kids
196,s246,Movie,Keva Rosenfeld,1993,91.0,R,Arthouse
197,s247,Movie,Dante J. Pugliese,2004,91.0,13+,Arts
198,s248,TV Show,,2014,1.0,TV-Y,Animation
199,s249,TV Show,,2019,1.0,TV-G,Action
200,s250,Movie,AUSTIN NWAOLIE,2020,118.0,16+,Drama
201,s252,TV Show,,2019,6.0,G,Kids
202,s253,Movie,"Bill Bixby, Charles Braverman, Jackie Cooper",1985,112.0,R,Action
203,s254,TV Show,,2013,1.0,7+,Documentary
204,s256,TV Show,,2020,1.0,16+,Comedy
205,s257,Movie,Angus Benfield,2018,93.0,G,Drama
206,s258,Movie,Adán Medrano,2021,87.0,13+,Documentary
207,s259,Movie,Herbert Ross,1991,110.0,R,Drama
208,s261,TV Show,,2019,2.0,G,Animation
209,s262,Movie,Ben Stiller,2008,107.0,R,Action
210,s263,Movie,Sylvain White,2004,95.0,R,Drama
211,s264,Movie,Sanket Prakash Pavse,2019,126.0,NR,Comedy
212,s266,TV Show,,2020,6.0,18+,Documentary
213,s267,TV Show,,2015,2.0,G,Kids
214,s268,TV Show,,2019,2.0,TV-14,TV Shows
215,s269,Movie,Greg Kwedar,2016,86.0,16+,Action
216,s270,TV Show,,2019,5.0,18+,Comedy
217,s271,Movie,Gabriel Silverman,2019,93.0,16+,Documentary
218,s272,Movie,Antonio Negret,2012,88.0,R,Action
219,s273,TV Show,,2008,1.0,13+,Documentary
220,s274,Movie,Karzan Kader,2019,87.0,R,Action
221,s275,Movie,"Jeremy Teicher, Alexi Pappas",2017,89.0,18+,Comedy
222,s276,Movie,Craig Ross Jr.,2007,88.0,16+,Comedy
223,s277,Movie,"Rehmat Rayatt, Leva Kwestany",2019,65.0,13+,Documentary
224,s278,Movie,Carlos Sánchez,2021,116.0,G,Music Videos and Concerts
225,s279,TV Show,,2008,1.0,TV-PG,TV Shows
226,s280,Movie,Geordie Day,2019,93.0,16+,Documentary
227,s281,Movie,Vikram Sirikonda,2018,142.0,13+,Drama
228,s282,TV Show,,2014,6.0,TV-Y7,Kids
229,s283,TV Show,,2012,6.0,G,Comedy
230,s284,Movie,Maria Ripoll,2002,104.0,PG-13,Comedy
231,s285,Movie,Bert I. Gordon,1960,75.0,NR,Horror
232,s286,TV Show,,2009,1.0,TV-14,Animation
