show_id,type,title,director,release_year,rating,duration,listed_in,duration_int
s4348,Movie,Rambo: Last Blood (4K UHD),Adrian Grunberg,2019,R,89 min,"Action, Adventure",89
s4349,Movie,Numb,Jason R. Goode,2019,18+,89 min,"Drama, Suspense",89
s4351,Movie,Iceberg Slim: Portrait of a Pimp,Jorge Hinojosa,2014,13+,88 min,Documentary,88
s4352,Movie,Alison,Uga Carlini,2017,16+,60 min,"Documentary, Special Interest",60
s4354,Movie,Yuvarathnaa (Tamil),Santhosh Ananddram,2021,NR,159 min,"Action, Drama, Kids",159
s4355,Movie,Yuvarathnaa (Hindi),Santhosh Ananddram,2021,NR,159 min,"Action, Drama, Kids",159
s4356,Movie,Who Needs Enemies,Peter Stylianou,2021,16+,91 min,"Action, Drama",91
s4357,Movie,Two Night Stand,Max Nichols,2015,R,86 min,"Drama, Romance",86
s4358,Movie,Trust Me,Andrew Kazamia,2007,18+,97 min,Comedy,97
s4359,Movie,The Priest,Jofin T. Chacko,2021,NR,145 min,"Horror, Suspense",145
s4360,Movie,The Pleasure Garden,Alfred Hitchcock,1926,13+,60 min,Romance,60
s4361,Movie,The Greatest Story Ever Told - An All-Star Cast In this Biblical Epic,George Stevens,1965,13+,193 min,"Drama, Special Interest",193
s4362,TV Show,The Boarding School: Las Cumbres,,2021,16+,1 Season,"Drama, Suspense",1
s4363,Movie,Sultan,Ali Abbas Zafar,2016,13+,169 min,"Drama, International, Romance",169
s4364,Movie,Sounds of Silence,Peter Borg,1989,13+,104 min,"Drama, Horror",104
s4365,Movie,Siva-I,Renju Ramesh,2009,7+,60 min,"Animation, Drama, Kids",60
s4366,Movie,Prayanikudu,Jonathan Edwards,2021,13+,132 min,"Action, Drama",132
s4367,TV Show,Prathi Friendu Avasramera,,2021,16+,1 Season,"Comedy, Drama",1
s4368,Movie,"Power of the Resurrection - Christ's Crucifixion, Resurrection, & Ascension",Harold Schuster,1958,13+,59 min,"Drama, Special Interest",59
s4370,Movie,Pinkfong! Baby Shark Sing-Along,Pinkfong,2021,G,54 min,"Animation, Kids",54
s4371,Movie,Pinkfong! Baby Shark & More Animal Songs,Pinkfong,2021,G,49 min,"Animation, Kids",49
s4372,Movie,Overheard 3,"Felix Chong, Alan Mak",2014,16+,132 min,"Action, Suspense",132
s4373,Movie,Overheard 2,"Alan Mak, Felix Chong",2011,16+,119 min,"Action, Suspense",119
s4374,Movie,Nocturne,Zu Quirke,2020,16+,90 min,Suspense,90
s4375,Movie,Night of the Bear,Paul-Razvan Macovei,2020,18+,77 min,"Animation, Comedy, Drama",77
s4376,Movie,Nick of Time,John Badham,1995,R,89 min,"Action, Drama, Suspense",89
s4377,Movie,Monsieur Lazhar,Philippe Falardeau,2012,PG-13,95 min,"Arthouse, Drama",95
s4378,Movie,Mirugaa,J. Parthiban,2021,13+,128 min,"Action, Drama, Suspense",128
s4379,Movie,Maguva disha marindhi,V.Vinay Kumar,2021,18+,70 min,Drama,70
s4380,Movie,Looking for an Angel,Héctor Rodríguez,2008,18+,109 min,Comedy,109
s4381,Movie,Learning The Hard Way,Silk White,2020,16+,83 min,"Drama, Suspense",83
s4382,Movie,Katie Bird,Justin Paul Ritter,2005,18+,97 min,Horror,97
s4383,Movie,Kacche Dhaagey,Buta Singh,2016,13+,120 min,Drama,120
s4384,Movie,"Jeff, Who Lives at Home","Jay Duplass, Mark Duplass",2012,R,83 min,"Comedy, Drama",83
s4385,Movie,Intolerance No More,Sergio Guerrero Garzafox,2020,16+,82 min,"Drama, Suspense",82
s4386,Movie,Insanity,David Lee,2015,16+,103 min,Suspense,103
s4387,Movie,I Beheld His Glory - Celebrating the inspiring events of Jesus' last days,John T. Coyle,1958,13+,53 min,"Drama, Special Interest",53
s4388,Movie,I Basilischi,Lina Wertmüller,1963,13+,83 min,"Arthouse, Comedy, Drama",83
s4389,Movie,Honeymoon With Mom,Paul A. Kaufman,2007,13+,91 min,Comedy,91
s4390,Movie,"Goodbye, Butterfly",Tyler Wayne,2021,G,99 min,Suspense,99
s4391,Movie,Five Little Ducks Nursery Rhymes for Babies in Indonesian,USP Studios,2021,G,45 min,"Animation, Kids, Music Videos and Concerts",45
s4392,Movie,Dosth mera dosth,Vijay Peddakotla,2021,16+,118 min,"Comedy, Drama",118
s4393,Movie,CRSHD,Emily Cohn,2020,16+,81 min,"Comedy, Drama, Young Adult Audience",81
s4394,Movie,Coimbatore Mappillai,C. Ranganathan,1996,G,131 min,"Comedy, Romance",131
s4395,Movie,Christmas Do-Over,Catherine Cyran,2006,16+,90 min,"Comedy, Kids, Science Fiction",90
s4396,TV Show,C-Bar,,2021,18+,1 Season,Western,1
s4397,Movie,Bhalobasar Onek Naam,TARUN MAJUMDER,2006,13+,134 min,Romance,134
s4398,Movie,Beta,Indra Kumar,1992,13+,158 min,"Drama, Romance",158
s4399,Movie,Backstabbed,Doug Campbell,2016,13+,88 min,"Drama, Suspense",88
